[2022-12-17 12:40:25,722][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   24.87361181  4.42775145    5.26269423   33.31955257     1000
sample             num_guess   33.86500000  1.19948947   31.00000000   38.00000000     1000
sample           num_correct   33.79000000  1.18823398   31.00000000   37.00000000     1000
sample          correct_rate    0.99784251  0.00968676    0.91666667    1.00000000     1000
sample              bandwith    0.21165625  0.00749681    0.19375000    0.23750000     1000
sample          max_autocorr    0.52178425  0.12436690    0.22448980    0.87297078     1000
sample      detect_rate-0.75    0.03400000  0.18122914    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99778532  0.00000000    0.99778532    0.99778532        1
sample      overall_bandwith    0.21165625  0.00000000    0.21165625    0.21165625        1

