[2022-12-17 13:31:00,964][root][INFO] - 

  info                   key          mean         std           min           max    count
------  --------------------  ------------  ----------  ------------  ------------  -------
sample        episode_length  160.00000000  0.00000000  160.00000000  160.00000000     1000
sample        episode_return   24.44600000  7.39006658  -78.00000000   32.00000000     1000
sample             num_guess   25.01800000  1.94722264   21.00000000   32.00000000     1000
sample           num_correct   24.98200000  1.95388741   21.00000000   32.00000000     1000
sample          correct_rate    0.99856189  0.00759887    0.93548387    1.00000000     1000
sample              bandwith    0.15636250  0.01217014    0.13125000    0.20000000     1000
sample        cyclone_attack    0.00500000  0.07053368    0.00000000    1.00000000     1000
sample  overall_correct_rate    0.99856104  0.00000000    0.99856104    0.99856104        1
sample      overall_bandwith    0.15636250  0.00000000    0.15636250    0.15636250        1

